name,mean,fano,skewness,kurtosis,telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,cross-talk,la1,la2,q1,gamma,nu,p+crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
0610007P14Rik,1.776595746,2.516817441,1.678440762,2.689163184,,1.169347635,2201801681,9999986039,0.341650785,688.930585,1.734099489,2.229174278,1.466669691,2.094862861,0.114701848,2,,1.169347964,1.169347246,0.45982697,2201711040,9999569378,0.341650965,691.0416761,1.734099482,2.229174412,1.466669786,2.094863181,0.114701846,2,,1.760444831,1.760472989,1233195031,7655789142,0.336087746,690.3024769,1.730004159,2.24597078,1.490292978,2.174027658,0.112713957,1,,1.290789261,1.670130482,1.670130482,0.510805375,1865186057,9999502972,0.337542504,692.6960426,1.731819466,2.239948109,1.48125653,2.143034445,0.113427372,1,,76.84443897,9998256184,95237474.49,61.73260985,0.999912543,691.4459366,1.714276049,2.200737419,1.489486245,2.229157773,0.113697019,2,,1.169346823,2197305188,9979578982,2.12E-05,0.341650514,691.0416761,1.734099317,2.229174708,1.466669793,2.094862844,0.114701852,2
0610009B22Rik,3.021276609,3.161821995,1.145321628,0.98288902,,0.605632652,1.22551402,25.05461841,0.364483336,848.3302207,2.986487333,3.080913469,1.055266117,0.492151766,0.116809045,2,,0.557452751,3.658725344,0.493908107,2.45502965,30.63560681,0.347078801,850.3271356,2.984200462,3.076061929,1.062133149,0.53388915,0.116567076,2,,0.604242343,2299.395964,1.215694885,16.28687582,0.558427947,850.4483249,2.985843848,3.078711859,1.054305391,0.490518719,0.116714648,2,,0.555598561,7.108996871,7.108996871,0.534696055,2.758566196,32.39603936,0.348022846,852.4286218,2.983301046,3.073717035,1.063217657,0.543090305,0.116427268,2,,2.333364081,358.6396106,100.1184637,3.993752675,0.332547652,850.3595299,2.980011091,3.075368766,1.078776572,0.60752758,0.116913167,2,,0.53077993,1.55E-08,15.92535481,0.437565577,1,850.3501893,2.980986637,3.067420608,1.062125049,0.544179095,0.11626852,2
1110004E09Rik,1.819148937,3.520032361,1.47988936,1.876864484,,0.148673229,0.28963031,12.74330128,0.420354374,652.5605348,1.808532986,3.430577709,1.339120514,0.970948471,0.127689239,3,,1.881824382,0.132065692,0.495730326,0.519032527,15.05846451,0.37639307,654.5474976,1.80765128,3.439386472,1.352700497,1.032438235,0.128132974,3,,24370.99448,0.148673599,0.289626449,12.25025245,0.437292632,654.6716236,1.808623586,3.430675126,1.339084082,0.970798921,0.127695145,3,,0.169114421,2.334783925,2.334783925,0.500631112,1.624900608,40102.43343,0.169006464,657.9684143,1.805778333,3.438583922,1.327499286,0.86897802,0.129090832,2,,5.032922003,207.0421852,7.680566191,56.91312731,0.999955244,654.382674,1.803917097,3.452342804,1.387097987,1.201685993,0.129121001,2,,0.141592243,1.25E-05,5.87472159,0.07381087,1,654.6212836,1.807821491,3.435190969,1.345562264,0.998389417,0.127901199,2
1110008L16Rik,2.35106384,2.739433911,1.302566007,1.544883542,,0.663632768,1.625950899,24.6682509,0.328944352,771.6910799,2.322596509,2.668588051,1.201830508,0.988353629,0.105565528,2,,0.431981776,1.514185302,0.259525302,2.788344024,9.522529415,1,773.582397,2.325288534,2.64342153,1.199736847,1.024372213,0.104408301,2,,80.06432922,0.663629468,1.61219216,24.66391682,0.328945495,773.8021787,2.322591081,2.668587429,1.20183028,0.988351556,0.105565369,2,,0.525532278,3.559597846,3.559597846,0.52926085,2.506339518,9.381113434,1,775.7334734,2.318875348,2.652223264,1.200992671,1.021570029,0.104398673,2,,2.24629431,217.2692037,69.97544241,3.453515942,0.326808558,773.5268075,2.321089379,2.650003631,1.19744822,1.015795768,0.1043717,2,,0.581915832,9.56E-05,44.89690381,0.218556551,0.313194568,773.6139488,2.320569157,2.661741572,1.20492397,1.02225481,0.104932741,2
1110012L19Rik,1.393617026,2.720886802,2.230826793,4.928269058,,1.081860865,3126097071,9998334170,0.403987144,619.5809037,1.370802724,2.142377782,1.713476927,3.34802446,0.237524773,2,,1.081862907,1.081859094,0.56026684,3124321309,9992669725,0.403986175,621.6919948,1.370802035,2.142377005,1.713477157,3.348026407,0.237524748,2,,1.654073081,1.654379621,46120171.42,195668811,0.398549896,619.7427882,1.363604102,2.167056781,1.756210964,3.542733129,0.234074586,2,,6067.283004,1.654154334,1.654154334,0.486492321,2065828478,4284231944,0.396829372,621.8797215,1.36391874,2.166922988,1.755693996,3.540021838,0.234096396,2,,1.081857661,283027.0495,905222.9315,1.00E-10,0.403988782,621.6920763,1.370806907,2.142378064,1.713472177,3.347999565,0.237525075,2,,1.081706144,2067919506,6613287112,63.60043652,0.404106789,621.6919989,1.370866971,2.142556921,1.713494938,3.347925581,0.237526868,2
1110037F02Rik,1.840425527,2.465932861,1.661067253,4.069557351,,0.679045023,1.901790482,15.5054495,0.450361438,699.0051836,1.831145798,2.411459004,1.390545089,1.814911648,0.128760039,2,,0.597941831,2.987257913,0.454963993,4.200367022,15.28439645,0.596571973,700.6610294,1.829139095,2.419150916,1.40983542,1.924040674,0.128559157,2,,0.679043733,327.0596891,1.897809264,15.49963401,0.450523807,701.1162753,1.831145496,2.411458649,1.390544323,1.814908179,0.128759984,2,,2.471265328,0.097080593,0.097080593,0.005932766,152.3448834,148.9871229,1,701.7291408,1.827231292,2.366943699,1.400432542,2.037292631,0.124901474,2,,9.148500302,647.2377274,40.40095982,18.26952408,0.377966189,700.3238122,1.834028388,2.389331005,1.362734339,1.753574498,0.125868825,2,,0.583338722,490.432136,9217257546,629685490.4,0.840978882,700.5300392,1.828918015,2.413060866,1.405072642,1.912899772,0.127961461,2
1110038B12Rik,3.957446826,2.983413406,1.310534525,1.747812198,,1.934873515,2005125633,9998989418,0.415609656,924.8076567,3.870392559,2.724262571,1.10592912,0.989237863,0.163386363,1,,1.934874282,1.934872166,0.556311618,2005114762,9998932447,0.415609779,926.9187478,3.870392319,2.724262693,1.105929231,0.989238192,0.16338636,1,,2.878347221,2.878397898,388111614.3,2673432782,0.407921886,926.5261672,3.864794215,2.746268391,1.131689079,1.047887152,0.163130254,1,,2.185178703,2.739540373,2.739540373,0.570864961,1658115705,9999646274,0.40976297,928.7625118,3.866180995,2.739533714,1.123934237,1.030152857,0.163170159,1,,1.938571011,1602.113611,7925.353715,0.00192276,0.415108941,926.9235649,3.874381493,2.72337072,1.104376103,0.984340409,0.163453981,1,,1.934873544,2005271525,9999716149,0.022289494,0.415609663,926.9187478,3.870392408,2.724262519,1.105929157,0.989238027,0.16338636,1
1110038F14Rik,2.053191489,3.205875885,1.7892241,3.439050932,,0.801408259,10.40214463,30.69794428,0.935265244,733.5605625,1.995390418,2.92941771,1.643208795,2.774498629,0.127018504,2,,0.83385051,0.833850528,0.492965439,1384463671,9990541926,0.355056513,735.1466034,2.011938551,2.979432041,1.649182509,2.750437704,0.128023173,2,,1.255632802,1.255630845,983364716.4,9999554149,0.34423936,734.8527564,2.011220796,3.006570491,1.668892998,2.805813662,0.127905271,2,,9666905695,1.255626163,1.255626163,0.563563776,89903923.29,515224119.2,0.344236031,736.9871745,2.011224974,3.006572516,1.668887509,2.805784436,0.127905456,2,,0.833851197,1384250159,9989007714,4.29E-10,0.355056215,735.1466034,2.011939674,2.979431152,1.649181521,2.750433578,0.128023194,2,,0.833850618,1385767667,9999940559,0.221887066,0.355056801,735.1466034,2.011938379,2.979432116,1.649182812,2.7504392,0.128023165,2
1110059E24Rik,1.553191495,1.926260566,1.260887044,1.377884872,,0.371896068,0.363432051,4.921964152,0.623370801,643.9934235,1.520415237,1.80076131,1.01734933,0.331190945,0.101067345,2,,0.325730324,1.908376771,0.499728656,0.608608849,10.46446083,0.310416885,645.9175004,1.518422715,1.804731909,1.025519292,0.355609002,0.100428522,3,,403.3791997,0.372248603,0.363732112,9.701866487,0.316388938,646.1039593,1.520447629,1.800874443,1.017439899,0.33134389,0.10107604,3,,1.853020514,0.511147768,0.511147768,0.475462164,0.467648878,5.299107714,0.586434879,648.1798391,1.520733302,1.797520258,1.015058398,0.328469745,0.100793164,2,,3.139551933,254.242845,19.77396928,23.2467427,0.267127815,645.2260909,1.514893523,1.801135003,1.024571977,0.370859272,0.097625667,3,,0.363566745,0.029813794,3.909194084,0.215257863,0.999999625,646.016387,1.515203691,1.808507952,1.031560523,0.368303352,0.100761401,2
1300002E11Rik,1.255319152,2.371799501,1.727125721,2.367117631,,0.781896944,1746245404,9997475056,0.302387633,589.0274618,1.183077371,2.032902036,1.540900861,1.999299756,0.083542035,2,,0.781896886,0.781897556,0.49571116,1746515899,9999015620,0.302387713,591.1385528,1.183077333,2.032901857,1.540900902,1.999300135,0.083542034,2,,1.18271495,1.18267863,308008.921,2408634.442,0.301851209,590.6111645,1.178764846,2.038606274,1.557413021,2.061050743,0.081030559,2,,0.85729822,1.130182513,1.130182513,0.524436758,1476042716,9999672422,0.301436754,592.9251787,1.180750122,2.036846575,1.550931008,2.036039542,0.081923409,2,,0.791263045,10.47598077,17.88153693,1.00E-10,0.999999998,592.2312872,1.165139375,1.996739608,1.558147848,2.116047169,0.084862371,2,,0.781896991,1746572881,9999347725,1.25E-05,0.302387651,591.1385528,1.183077312,2.032901996,1.540900923,1.999300066,0.083542035,2
