name,mean,fano,skewness,kurtosis,0.5+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,0.5+cross-talk,la1,la2,q1,gamma,nu,p_crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
0610007P14Rik,1.872340423,2.423114128,1.507660994,2.528933451,0,1.050961203,1355976517,9998107203,0.262397123,704.4660921,1.855730021,2.337710779,1.422553147,1.919982621,0.127400971,2,0,1.050961138,1.050960861,0.531350183,1348416977,9942362710,0.262397266,706.5771832,1.855729932,2.33771127,1.422553475,1.919983697,0.127400982,2,,1.518725036,1.520363233,2685539.878,29955284.07,0.254046859,706.3899787,1.85629554,2.344427869,1.421923697,1.897511031,0.127114384,2,,1.16030885,1.454315427,1.454315427,0.518971052,1072699679,9917539757,0.256224346,708.5838898,1.856506657,2.342590839,1.421700136,1.902454782,0.127224312,2,,1.055281869,46462.44627,331217.8517,0.004007067,0.262540628,706.5772062,1.855805503,2.337991387,1.422758112,1.920733736,0.127413419,2,,1.050963482,1294205064,9542484817,2.948817218,0.262398976,706.5771833,1.855723114,2.337711928,1.422560444,1.92001363,0.127400823,2
0610009B22Rik,2.861702138,3.610416838,1.626064307,3.083235819,0,0.668400421,2.936666422,39.44266032,0.390810588,835.1916759,2.810961718,3.570873568,1.406485685,1.686796785,0.202003631,2,0,2.498652929,2.15E-10,1,623271.6637,943733.632,1,827.40673,2.819369412,3.284826425,1.250771964,1.394322522,0.177098977,3,,12013.68035,0.668393568,2.936372759,39.44166625,0.390810505,837.302767,2.810970196,3.570875294,1.40647661,1.686758342,0.202003717,2,,2.498333004,5.24E-08,5.24E-08,3.37E-09,2809903322,4255033720,1,829.5411219,2.819126597,3.285059884,1.250900639,1.394667965,0.17709607,3,,6.307447886,976.5154167,72.95723633,15.09201106,0.430531611,835.1251615,2.836352658,3.409288576,1.247270868,1.185107451,0.193566006,2,,0.543670209,1.02E-10,261374.7252,9108.511963,0.999251926,835.9216309,2.807374139,3.49004998,1.353132369,1.538980823,0.197408798,2
0610031J06Rik,6.223404265,2.653518833,1.049048908,1.402717513,0,3.033316708,20.55626246,115.7517483,0.419655987,1035.806029,6.138410203,2.56460703,0.804783115,0.359203182,0.182909811,1,0,0.791618113,3.61637719,0.020448719,17.23343993,38.4865048,1,1034.944304,6.211453633,2.528686836,0.733147227,0.253468409,0.177028654,1,,29.88450572,3.030860986,17.67735537,110.3271878,0.419975042,1037.923886,6.133117286,2.56833785,0.806273602,0.361456473,0.182955326,1,,2.328428675,8.474382853,8.474382853,0.504648495,19.60587314,109.9181513,0.425881932,1039.371873,6.140027875,2.565765877,0.778073756,0.311343497,0.181794717,1,,23.83471496,1711.270884,94.16297267,21.24046963,0.402960943,1037.352629,6.183505101,2.509331822,0.60208081,0.00301721,0.18034908,1,,1.863642253,33.0308357,3549184951,26217054.08,0.439945036,1037.47786,6.164149025,2.536290788,0.70260237,0.164604879,0.181864989,1
1110001J03Rik,1.638297871,1.907156672,1.654894731,2.763363873,0,2.122889246,4584197804,9998281028,0.354462545,654.1335642,1.619309441,1.690764286,1.303130175,1.805676414,0.17436658,1,0,2.122888508,2.122890187,0.452841007,4584967726,9999936425,0.354463363,656.2446553,1.619309473,1.69076429,1.303130205,1.805676581,0.17436658,1,,3.226717363,3.226720341,10370020.75,11899221.42,0.884572423,655.5629615,1.612538387,1.700140839,1.331383851,1.917369706,0.172960531,1,,2.508122429,3.161343238,3.161343238,0.817318807,9999992790,9660999407,1,657.7763139,1.613233476,1.698791895,1.328059342,1.904477722,0.173108673,2,,2.565376888,547509610.6,310241232.6,0.198907381,1,656.2749553,1.617294713,1.687339688,1.304757275,1.81799767,0.174194231,2,,2.12288678,173404513.6,378201668.2,1.00E-10,0.354462078,656.2446554,1.619309273,1.690764897,1.303130503,1.805677031,0.174366585,1
1110004E09Rik,1.31914894,5.648593024,2.810896333,9.518644932,0,0.070166234,0.311168292,7.386985658,0.953486283,498.1208054,1.294535841,5.149630969,2.167159103,4.122147054,0.160193671,2,0,0.07009494,1.354926805,0.49944165,0.760736257,17.64270603,0.488377741,498.7313007,1.281273802,5.360795038,2.322031224,5.028639458,0.164179079,2,,525.781702,0.070166137,0.311126556,16.00605991,0.440043812,500.2319023,1.294531149,5.14962009,2.167161681,4.122161851,0.160193217,3,,2.683990044,0.000267323,0.000267323,0.000109599,1044.905543,1649.395125,1,493.3060333,1.294273463,5.226770012,2.366295598,5.687515639,0.149828147,3,,507.7292281,672794.6599,60.40468868,14537.51852,0.386414986,494.0544342,1.310873488,5.292983026,2.274401856,4.912231029,0.155747936,2,,0.079313987,3.23E-06,11.08525139,0.066821301,0.798654224,499.6015329,1.271486259,5.328808025,2.323345663,5.021160112,0.164783374,2
1110008L16Rik,2.659574467,3.412425548,1.829137091,4.06273098,0,1.111849391,1785191690,9999342252,0.430868911,814.3806048,2.614639237,3.107062352,1.571821441,2.684695384,0.184320318,2,0,1.111849753,1.111849453,0.519421726,1784883824,9997611990,0.430869066,816.4916958,2.614639215,3.107062053,1.571821432,2.684695566,0.184320313,2,,1.692594817,1.692588973,1315472233,9989105465,0.420559194,816.0519302,2.608686382,3.144810521,1.614296036,2.842341238,0.183771086,1,,1.21153357,1.592940553,1.592940553,0.457885086,601.7956698,3906.50857,0.424562329,818.3548971,2.611219571,3.127789461,1.595174655,2.770703471,0.183975661,2,,1.111849377,569518264.2,3190035033,1.00E-10,0.430867562,816.4916959,2.614638378,3.107061559,1.571821456,2.684695801,0.184320294,2,,1.111849592,1785082725,9998727109,0.000144708,0.430869032,816.4916958,2.614639228,3.107062076,1.571821424,2.684695508,0.184320314,2
1110037F02Rik,1.968085108,2.67515814,1.164503728,0.693828917,0,0.435117913,1.689185749,102.6117089,0.181946663,708.8428398,1.957139997,2.615874811,1.127800475,0.486953285,0.098505496,2,0,0.435121657,0.435122893,0.492849251,1.689191731,102.6054636,0.181948223,710.9539309,1.957143302,2.615878239,1.127803222,0.48696139,0.098505686,2,,0.658796943,0.656867355,1.166633495,132.6256899,0.175483069,710.522272,1.958249386,2.618115588,1.119794249,0.448113614,0.09675072,2,,8962.23706,0.657723643,0.657723643,0.50391962,2.30030121,130.1374063,0.175569729,712.6566168,1.959162861,2.618870714,1.119314049,0.446297454,0.096770129,2,,0.385836795,0.71090949,5.561732789,0.007682424,1,711.9059131,1.948388602,2.628724976,1.169110052,0.659994778,0.101730014,2,,0.410532618,0.500966376,259578.5594,0.081920367,0.17984817,711.1108624,1.962402142,2.611480736,1.116356839,0.45641855,0.098905322,2
1110038B12Rik,3.936170231,2.393559516,1.413215333,2.779760598,0,3.039406549,7720327239,9998183473,0.999999274,901.0502825,3.907449307,2.223892279,1.067238097,1.247454804,0.143589962,1,0,9999757942,3.030175713,0.561939902,22622999.18,27747580.96,0.464207619,903.1416357,3.90958346,2.226897921,1.066816828,1.243745472,0.143707274,1,,4.596014949,4.593665797,37844633.95,141462087.5,0.458775543,902.7937608,3.90463719,2.236782785,1.098904594,1.346081375,0.143692739,1,,2506306111,4.595058476,4.595058476,0.49978564,2203040438,4115183761,0.458809535,904.9281786,3.904642669,2.23673259,1.098892981,1.346074059,0.143691825,1,,3.920205553,111793145.6,147914598.6,0.293711397,0.46422989,903.1416347,3.909583559,2.226889557,1.066815441,1.243746306,0.143707093,1,,3.030173102,3570882130,9998153930,0.000206507,0.46420455,903.1416343,3.909582821,2.226899037,1.066817243,1.243746205,0.143707288,1
1110038F14Rik,1.81914894,1.765646389,1.137229572,1.276043003,0,0.945773727,1.278016428,14.33536042,0.298453455,684.8966659,1.792724976,1.69947766,1.003811935,0.548278107,0.128540176,2,0,5.314070531,0.885445867,0.497717692,2.466281807,16.25893816,0.29440052,686.995096,1.791809818,1.698652358,1.005688587,0.558942831,0.128448557,2,,0.945777747,8065794.656,1.278028607,14.33579801,0.298445411,687.007757,1.79272559,1.699477688,1.003812243,0.548278985,0.128540211,2,,0.858232246,7.531923275,7.531923275,0.494665572,2.356919368,16.74589986,0.293187669,689.1260372,1.791498733,1.69818423,1.006103227,0.562434915,0.128412722,2,,1.987806543,29.27726626,20.23996181,1.922681579,0.331920545,686.9934968,1.789477646,1.695597571,1.009073926,0.581261421,0.128218188,2,,0.788873796,0.031744576,23.06092134,3.412306132,0.980739134,686.9989846,1.790733309,1.696707567,1.006415181,0.566660869,0.12831584,2
1110057K04Rik,1.127659577,3.023283832,2.03319185,4.073632697,0,0.27627747,1.329662659,22.36282026,0.296599396,540.7318701,1.067302574,2.772193456,1.862723558,2.99240156,0.151041012,2,0,5.146133191,0.263171649,0.500047097,2.89500464,25.95181877,0.298984376,542.8122583,1.068480737,2.76619923,1.854027931,2.958244018,0.150718305,2,,40.70328718,0.276291825,1.320592361,22.36141521,0.296588144,542.842967,1.067298098,2.772207138,1.862748467,2.992512409,0.151041148,2,,2.446287938,0.414675003,0.414675003,0.500478605,2.068117003,24.78335127,0.296124591,544.9271615,1.067148356,2.770601186,1.861017085,2.986026139,0.150792426,2,,2.580486448,92.03537775,10.13622319,10.39886891,0.980946571,543.0105867,1.060909462,2.730136171,1.849031966,2.97202733,0.148996317,2,,0.255067822,0.339297222,40.71919998,0.169049918,0.287368437,542.792623,1.065825626,2.765502272,1.863395551,3.008115337,0.150483621,2
