name,mean,fano,skewness,kurtosis,p+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,p+cross-talk,la1,la2,q1,gamma,nu,p_cross-talk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
Mrpl15,4.781249991,4.383082429,1.498951579,3.943569391,0,0.80983543,2.777598332,41.18804457,0.51052395,1193.135966,4.745465935,4.543905465,1.239144253,1.350483388,0.135565868,2,0,2.791753322,0.171862121,0.977319383,36.3209399,89.06696745,1,1184.007899,4.807112561,4.216561007,1.145778436,1.424027069,0.109112818,3,,0.809835578,7220.723375,2.777286576,41.18636581,0.510544666,1197.302104,4.745466104,4.543904775,1.239144089,1.350482924,0.135565859,2,,3.00717203,0.27086097,0.27086097,0.015552175,123.1749865,315.1804085,0.836907484,1187.881221,4.749443286,4.19115613,1.161967189,1.518868801,0.107713319,3,,3.059946775,693.5502601,127.4804423,6.140489738,0.409956508,1190.973733,4.766449123,4.223652972,1.029334573,0.76470451,0.11168659,2,,0.676653346,2.51E-09,133.6852629,2.246142312,1,1193.515386,4.734082103,4.45521634,1.216877659,1.376622951,0.127216997,2
Rb1cc1,4.843750016,4.56730993,1.426217468,2.330763811,0,0.922484059,4.706309721,73.2315918,0.404834411,1199.9548,4.78890751,4.536158502,1.267937246,1.349268464,0.109590385,2,0,3.13406184,0.486851023,0.901107627,12322.29264,29300.38221,1,1199.781081,4.768710734,4.282087981,1.203023739,1.316499465,0.100494349,2,,727.810224,0.922473156,4.700017653,73.22872197,0.404830637,1204.120939,4.788916789,4.536159091,1.267927333,1.349229606,0.109590369,2,,2.859480965,0.723823648,0.723823648,0.07431055,80.25328139,484.6720556,0.436971134,1203.777543,4.79684464,4.300374907,1.195886084,1.265940067,0.101203858,2,,7.337022261,2279.739468,262.3710686,8.678050148,0.442806625,1203.250561,4.800305328,4.413209469,1.197185769,1.165117927,0.105809568,2,,0.753742399,111231.6353,63045798.34,223908.1294,0.444859794,1203.235615,4.800292618,4.409606721,1.195490509,1.161272858,0.105720022,2
Rrs1,1.544642858,2.507380271,1.634289082,2.564026966,0,0.776500689,1149506242,9996943245,0.257858148,768.072133,1.524916629,2.408083201,1.578886282,2.381546499,0.046212686,2,0,0.776500924,0.776500666,0.526201308,1148478769,9988005679,0.257858166,770.1456904,1.52491673,2.408083157,1.578886222,2.381546288,0.046212685,2,,1.144432966,1.144432742,779925807.4,9996714445,0.253687678,772.062957,1.524625141,2.416524444,1.585746904,2.395853043,0.045216829,2,,0.858225537,1.10711418,1.10711418,0.594302382,906766394.8,9999863361,0.254404466,774.2185183,1.525004096,2.414454449,1.583375481,2.389216672,0.045481081,2,,1.998924232,642581355,343582125.3,1.574221761,0.257868169,772.2382716,1.524927066,2.408096134,1.578894319,2.381580004,0.046212127,2,,0.767287008,3772.885567,28220.19192,40.79861495,0.312785905,772.642909,1.509416872,2.459518155,1.643816003,2.66610601,0.045415993,2
Cops5,9.794642896,5.750480215,1.048542929,1.477965693,0,1.351245502,4.741048435,89.42806744,0.493133371,1471.015716,9.76769856,5.808423084,0.997229213,0.774421275,0.156870562,1,0,1.197270185,5.2343214,0.442604931,11.53121296,63.6451379,0.997652098,1472.422675,9.7621244,5.754682308,0.987371667,0.811914538,0.155247131,1,,1.35125161,542.154156,4.729267086,89.41455556,0.493202089,1475.181856,9.767608868,5.808399626,0.997240046,0.77446003,0.156869627,1,,1.144364614,14.59452462,14.59452462,0.758153505,54.17933711,177.5411212,1,1476.265767,9.796768606,5.66543142,0.952932696,0.756484524,0.153675548,1,,4.208813014,1022.051003,378.5432139,2.68816183,0.517638706,1474.394014,9.775460988,5.698603255,0.968264124,0.774509065,0.154396064,1,,1.13475409,73514.77916,24247448.3,49451.35904,0.519228533,1474.384934,9.774997484,5.696966971,0.969146087,0.780457667,0.154391681,1
Sulf1,1.424107148,2.760845862,2.326809172,7.020462611,0,0.912268753,2768634958,9998770307,0.43281576,741.9030508,1.413608731,2.471441494,1.964073621,4.870376593,0.089652218,2,0,0.912231445,0.912215123,0.050947084,44775237.92,161728102,0.432766045,743.9766087,1.413580136,2.471490262,1.964113966,4.870557083,0.08965226,2,,1.423193902,1.423191976,2079133751,9998488541,0.417101181,745.2191251,1.409987372,2.502887952,2.022843669,5.201878608,0.087863306,2,,33802675.16,1.433071061,1.433071061,0.467974871,314066.2154,292271.4003,0.998714219,747.3829312,1.406645894,2.494102262,2.025659867,5.234444987,0.087611003,2,,1.015690888,4726895.993,6145090.006,0.109777942,0.924602548,746.0915067,1.41201752,2.467003601,1.964816354,4.881410954,0.089527319,2,,0.912268705,2768920763,9999801572,1.69E-10,0.432815836,746.0691893,1.413608772,2.471441601,1.964073631,4.870376552,0.08965222,2
Tram1,3.678571456,2.695215,1.396986717,2.462292976,0,2.23646031,2563928632,9999011957,0.422658237,1063.809479,3.65543635,2.549361681,1.220273875,1.69357485,0.101409367,1,0,2.236454538,2.236469608,0.506571263,1105852230,4312637234,0.422663832,1065.883037,3.655442578,2.549363439,1.220273381,1.693572394,0.101409455,1,,3.372350657,3.372337748,1592158310,8529421055,0.408986997,1067.578208,3.652200954,2.574641694,1.258636015,1.818535985,0.100966347,1,,2.538308476,3.176247891,3.176247891,0.538017728,2142905641,9892769627,0.416321414,1069.805002,3.653296565,2.566122069,1.245898336,1.777335045,0.101048897,1,,2.254326072,6127069865,9998050759,6.35E-10,0.999999986,1068.047913,3.648948699,2.541016577,1.223871568,1.716704615,0.101086346,1,,2.236459894,2563958425,9999129839,6.54E-05,0.422658221,1067.975618,3.655436148,2.549361868,1.220273959,1.693575068,0.101409366,1
Lactb2,1.513392856,3.156223659,1.802377078,2.732603591,0,0.505452703,829917010.1,9999074172,0.301112429,751.1521656,1.462634787,2.89884933,1.735534068,2.718139555,0.074735348,2,0,0.505605572,1680.408225,0.548388997,1514301929,9999995664,0.301041071,753.2263853,1.462537056,2.898499489,1.735645046,2.718956537,0.074736463,2,,0.738579266,0.738607138,4.1123411,81.04372484,0.265703134,754.7921238,1.471730141,2.929714219,1.73021743,2.657857501,0.073428782,2,,520.661689,0.738595418,0.738595418,0.505753423,8.194689661,81.67616279,0.265707591,756.9039945,1.471733917,2.929712367,1.730213969,2.657842995,0.073428792,2,,0.484896048,7.860639781,106.4787462,1.00E-10,0.278946514,755.3774305,1.469601346,2.904180323,1.720531062,2.64388512,0.075429787,2,,0.505452688,829921233.2,9999119167,1.32E-07,0.301112511,755.3183041,1.462634577,2.89884949,1.735534372,2.718140881,0.074735341,2
Ube2w,3.071428582,3.957641244,1.975353033,6.242215363,0,0.850496669,9.507117295,78.00087346,0.479352096,1022.225178,3.059979778,3.964669312,1.724972197,3.588462162,0.120741488,2,0,0.345349823,1.703635757,0.089293655,112.6693122,547.90309,0.506862736,1022.606433,3.061519039,3.838698839,1.664295578,3.444814802,0.114506431,2,,0.850494669,271.3192531,9.476131963,77.99578395,0.479325341,1026.391318,3.05998129,3.964671175,1.724970232,3.588449462,0.120741516,2,,1.502548215,0.127481057,0.127481057,0.007685705,2117223033,9165942432,0.554285277,1026.439335,3.060295778,3.793827841,1.653500396,3.451762504,0.112990781,2,,117224.0336,40852263.96,248.1243584,153849.3462,0.492789447,1026.05365,3.0650731,3.883059703,1.642425752,3.18472165,0.117646887,2,,0.761957033,680093028.9,9287733072,37414262.62,0.492684033,1026.05365,3.065087637,3.883051641,1.642431413,3.18476199,0.117647317,2
Tceb1,10.98214287,5.703222947,1.219271631,1.703231182,0,2.206473441,939148986.2,9999772942,0.472791054,1497.870068,10.86312582,5.47987365,1.052257637,0.950082616,0.195476144,1,0,1.543979944,2.932842762,0.234431256,1045612378,9996053173,0.478231279,1499.760328,10.86829135,5.413981211,1.022804002,0.901041781,0.194544024,1,,2.215730186,30.11461882,129950.0348,1479481.613,0.472903891,1502.03443,10.86257724,5.483369932,1.054236646,0.954622973,0.195506409,1,,1.560386611,4.696871875,4.696871875,0.669990404,866953075.5,9999974787,0.477813192,1503.813598,10.86249563,5.427899673,1.035818511,0.937300388,0.19446491,1,,2.205994868,296469.7195,3157765.439,1.05E-10,0.47273422,1502.036219,10.86285598,5.480487846,1.052273165,0.949985594,0.195478928,1,,2.206475499,917456731.4,9768786403,0.003206811,0.472791167,1502.036207,10.86312393,5.479869965,1.052257761,0.950083971,0.195476099,1
Tmem70,3.625000009,3.734605961,2.060930269,6.633645361,0,1.48582984,2129297388,9998405247,0.519718921,1079.470936,3.614070196,3.37939664,1.569000451,3.241499151,0.125422672,1,0,1.485830708,1.485828838,0.558179047,2127553317,9990164166,0.519721544,1081.544494,3.614069894,3.379396422,1.569000496,3.241499513,0.125422663,1,,2.251598133,2.281035243,1007.533981,6295.459888,0.512680159,1082.737024,3.60741972,3.44341048,1.646586777,3.606211718,0.125270698,1,,1802428841,2.267567239,2.267567239,0.533896848,2950985430,9861097431,0.510950162,1084.839299,3.60729925,3.445448626,1.647994695,3.612887314,0.125292489,1,,12.39118955,158424970.7,16445397.91,7.337923647,0.671278957,1083.645345,3.611643182,3.377802545,1.569432884,3.244555025,0.125350419,1,,1.485828206,2128905043,9996623132,0.002831141,0.519716417,1083.637075,3.614070513,3.379399238,1.569000931,3.241500204,0.12542272,1
