name,mean,fano,skewness,kurtosis,p+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,p+cross-talk,la1,la2,q1,gamma,nu,p_crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
Mrpl15,3.633928599,4.604400701,1.440674836,2.235695865,0,0.487075378,1.479583585,32.49431218,0.448017126,1075.124934,3.590159349,4.643481418,1.302775883,1.185503859,0.133752476,2,0,0.081963899,1.544444278,0.027156261,5.992257467,55.48171543,0.441786345,1071.787819,3.597539893,4.399755934,1.271078128,1.315262844,0.119769607,2,,330.1757134,0.487063969,1.47749049,32.47983907,0.448223125,1077.217517,3.589988696,4.643529003,1.302848183,1.185750078,0.133750626,2,,2.142596942,0.196771925,0.196771925,0.024888866,23.56344883,64.28800526,1,1073.693282,3.584058827,4.421645244,1.310910835,1.505849909,0.118708119,2,,10.28144231,3487.16266,119.6652197,32.63036664,0.424847547,1073.366529,3.612283751,4.467990733,1.234343068,1.090571864,0.123823242,2,,0.427564001,1.01E-10,27.12357835,0.383990548,1,1075.255974,3.580819335,4.594124658,1.306859818,1.269595783,0.129069926,2
Atp6v1h,1.852678579,2.361779285,2.127008751,6.333125269,0,1.727773774,4624393039,9998715196,0.495952191,826.5844337,1.848589557,2.048568941,1.538799511,3.118867231,0.124562709,1,0,1.721953521,1.729805638,0.506247262,145893.0725,311075.0447,0.503651665,828.6773271,1.849140887,2.049965049,1.539222985,3.119872912,0.124599026,1,,2.628730459,2.628728368,7100225434,9999747627,1,827.3049929,1.845115518,2.077735435,1.594114703,3.39808407,0.122733126,2,,72.08197704,2.573283532,2.573283532,0.519749773,9999778893,7604695188,1,829.6228874,1.846506291,2.077776237,1.585030379,3.342625634,0.12306517,2,,195.7844782,9999694677,60708144.15,112.3161513,0.495884706,828.6770178,1.848590021,2.04856985,1.538799572,3.118866576,0.124562742,1,,1.727774115,4624840900,9999883238,5.572879475,0.495942058,828.6770148,1.848589065,2.048568476,1.538799502,3.118867494,0.124562692,1
Rb1cc1,2.116071436,5.221481392,3.197796804,15.01436885,0,0.528039481,1272855048,9999745568,0.51144261,865.3609638,2.098272708,4.779100147,2.483108981,7.95480661,0.129070112,2,0,0.75445853,0.431073504,0.507085429,1335656589,9998616017,0.514309701,867.4343634,2.099534013,4.743310617,2.457253938,7.796729785,0.128583418,2,,0.539818544,4.064462369,47065365.1,410602421.1,0.510651936,867.4189049,2.096520624,4.803605621,2.507123782,8.118665936,0.129302982,2,,0.391685484,1.452858367,1.452858367,0.504121958,25777.51211,208138.4397,0.51470074,869.4353282,2.098116453,4.731289252,2.462681664,7.861972757,0.128251028,2,,0.528039502,1272605916,9997804309,6.05E-10,0.511441665,867.4535447,2.098272299,4.779099368,2.483109083,7.954807765,0.129070097,2,,0.528039579,1272838293,9999618195,0.344741263,0.511442396,867.4535447,2.098273103,4.779100105,2.483108697,7.954804601,0.129070121,2
Fam150a,1.687500016,4.545304272,2.366688648,6.268838183,0,0.404980492,815008069.7,9999721484,0.366242603,772.9628485,1.657152659,4.25741237,2.269138016,5.629110433,0.092216293,2,0,0.40498036,0.404980605,0.527593727,814949807.5,9999008330,0.366242575,775.0554295,1.657152695,4.257412431,2.269137958,5.629110013,0.092216295,2,,0.629414739,0.629416865,434584298.3,7506656324,0.352987246,774.6626315,1.657654039,4.305499975,2.285380633,5.664502057,0.091927481,2,,93177.40465,0.629416264,0.629416264,0.509827446,1135516983,9999834131,0.352983857,776.7745031,1.657654515,4.305493897,2.285378699,5.664494481,0.091927446,2,,0.405023216,668117.9173,8192710.184,8.17E-09,0.366353084,775.0554328,1.657034372,4.257306647,2.269352291,5.630602989,0.092211423,2,,0.40498063,815025337.5,9999927877,0.129910983,0.366242683,775.0554294,1.657152831,4.257412005,2.269137913,5.62911015,0.092216292,2
Rrs1,1.102678569,3.087604791,3.281592636,15.17524104,0,0.654757899,5010104.392,9057182.788,0.93158301,655.349732,1.093678256,2.593687758,2.330913625,7.032994216,0.090431578,2,0,0.654075016,0.654072629,0.504413997,2922927729,9805252097,0.502792203,657.4352033,1.094168052,2.595625297,2.331055858,7.031597476,0.090497012,2,,1.046020578,1.046010651,2332177826,9912705584,0.496039606,656.5894001,1.090284755,2.623518295,2.400215431,7.50988438,0.089631188,2,,0.693541446,1.007209421,1.007209421,0.582665437,10890.40206,32966.74443,0.643590364,658.992491,1.096092018,2.629292285,2.37722512,7.331022634,0.090356144,2,,0.894491061,6563794.472,8471224.153,0.367413484,0.502492833,657.4352143,1.094187121,2.595486121,2.33096976,7.031169733,0.090494656,2,,0.654075077,2896373243,9716161157,4.09E-05,0.502791269,657.4352032,1.094166936,2.595621253,2.331055403,7.031598883,0.090496886,2
Cops5,8.727678575,5.797641151,1.223572643,2.08047277,0,1.248719064,5.442345185,96.33731837,0.48475366,1434.046414,8.696156873,5.889096583,1.117647686,1.120466566,0.16299659,1,0,0.886898874,3.928504255,0.248557405,15.44632708,153.2557983,0.471258664,1434.569619,8.701897958,5.634449645,1.024169492,0.944329308,0.156918169,2,,131982.0086,1.248725583,5.442401813,96.33816094,0.484754749,1436.138996,8.69614841,5.889089422,1.117651471,1.120482646,0.162996589,1,,3.23783193,0.985862734,0.985862734,0.071210188,51.62171354,202.3857278,0.999999902,1436.041351,8.664125342,5.621652129,1.084904732,1.221971738,0.156933212,3,,9.872117649,3853.220164,448.2876997,8.553969228,0.506466029,1434.956553,8.713150275,5.729033874,1.050160144,0.975379131,0.158801325,1,,1.000715359,8.50E-07,9991303959,21599685.69,0.504240668,1434.953286,8.717500174,5.695417111,1.0317145,0.921843316,0.158164382,1
Sulf1,1.785714293,3.659285794,3.619592343,21.66928945,0,0.953743472,3164323017,9995748141,0.592716828,822.8240276,1.784934199,2.863684293,2.069179419,6.139264292,0.116643438,2,0,0.953751823,0.953751601,0.510361644,5340384265,9998828951,1,824.9166604,1.784928329,2.863663233,2.069173542,6.139235801,0.116642914,2,,1.489549349,1.489552811,2481192117,9997286724,0.593969858,823.0002682,1.780897507,2.928161035,2.184548317,6.980313687,0.114979205,2,,1.038232609,1.442231274,1.442231274,0.601215425,3752939008,9954650872,0.819051181,825.6920561,1.782726898,2.902419724,2.143368669,6.677760004,0.11536637,2,,0.953751504,179905060.4,460169255.2,1.00E-10,0.731985825,824.916657,1.784929003,2.863664275,2.069173603,6.139235811,0.116642948,2,,0.953741959,3165765306,9999943063,4.876458922,0.592739649,824.9166088,1.784935605,2.863688601,2.069180572,6.139269819,0.116643548,2
Tram1,4.526785733,3.4633524,1.537501081,3.110276666,0,1.9124753,1925663832,9998778597,0.457253876,1155.048281,4.488236448,3.206202088,1.269428592,1.787991307,0.098774883,1,0,1.912474636,10899969.71,0.498949461,3859900975,9999969342,0.457254688,1157.140864,4.488236601,3.206202533,1.269428624,1.787991293,0.098774885,1,,2.728501042,3.084180057,1454.458328,10044.94665,0.455368755,1156.568732,4.479013934,3.239748363,1.316596597,1.944849777,0.097574038,1,,215.198413,2.881974368,2.881974368,0.513872023,3043108675,9999926557,0.495772953,1158.75021,4.473131374,3.240111119,1.32007945,1.962136612,0.09738034,1,,2.09683176,200870.7026,653047.5499,0.09640795,0.457322329,1157.141019,4.488232366,3.206179906,1.269422885,1.78798706,0.098774634,1,,1.912473392,1726219639,8963202701,1.00E-10,0.457253786,1157.140863,4.488237913,3.206204505,1.269428605,1.787990087,0.098774913,1
Ube2w,2.772321429,4.153604536,2.383838486,7.799501337,0,0.921894199,1574072026,9999300593,0.474716236,985.1791209,2.75093825,3.83177077,1.874778576,4.380625448,0.181405614,2,0,0.74848284,1.516256741,0.506304919,41566.92668,240579.1611,0.480842776,987.1461179,2.752609752,3.797822537,1.839913493,4.214388003,0.180724962,2,,0.955192311,5.128075575,48327823.3,353332869.2,0.4726214,987.2064665,2.748922518,3.849208131,1.897059651,4.49767379,0.181468578,2,,0.720220901,2.476614762,2.476614762,0.464684027,1606.959139,10489.45353,0.476277799,989.01196,2.751013483,3.802345171,1.850288622,4.278495036,0.180330005,2,,0.9216518,4450.771837,28291.14634,1.00E-10,0.474640516,987.2734539,2.750972193,3.831633358,1.874528321,4.379206362,0.181407744,2,,0.921892992,1573641344,9996587662,1.09E-09,0.474715434,987.2717019,2.750936278,3.831772269,1.874779613,4.380630235,0.181405584,2
Tmem70,2.370535722,3.563550959,2.326322505,7.77181411,0,0.996343836,2017696987,9997900677,0.480839695,926.2763736,2.354003481,3.256855752,1.841986875,4.282823496,0.112004241,2,0,1.024088918,0.969641284,0.50581593,13899.64351,67032.19512,0.493779906,928.3726089,2.35283425,3.256719957,1.842582594,4.286787602,0.111968612,2,,1.54365901,1.543664195,1526678708,9998735681,0.470373196,928.0286215,2.348794954,3.310391339,1.912634146,4.643635943,0.112252818,2,,9999996929,1.554092698,1.554092698,0.500700423,1776860.534,2713806.57,1,930.2174973,2.342407819,3.295191025,1.914939239,4.671500987,0.11188525,2,,4.01548109,2090962395,544024482.4,3.030247939,0.480794266,928.368955,2.354028893,3.256889617,1.841981417,4.282767471,0.112005233,2,,0.996343878,2018005773,9999427426,0.002318809,0.480839853,928.3689545,2.354003567,3.256855743,1.841986837,4.282823302,0.112004242,2
