Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
1110004E09Rik,0,0,2,0,0,0,0,0,1,6,2,8,0,6,0,0,3,2,7,0,0,4,0,4,6,0,0,0,0,0,0,0,0,0,3,3,1,8,3,4,0,0,0,1,0,2,5,0,4,0,5,0,6,3,0,3,6,0,2,4,2,6,0,1,3,5,0,0,1,0,12,0,1,0,1,4,0,8,0,1,0,0,0,0,5,0,4,1,0,0,0,0,0,2,3,0,6,6,0,0,0,1,7,0,0,0,0,0,2,8,0,2,0,2,0,0,0,4,0,4,0,0,0,0,6,3,0,3,8,3,1,0,0,4,0,0,5,0,0,2,3,6,0,1,0,5,0,0,4,3,6,0,4,2,0,6,12,2,0,1,0,5,4,0,3,1,1,0,0,0,0,1,1,0,8,0,0,0,5,0,0,0,0,1,0,4,0,2
1700001L05Rik,0,0,2,0,0,0,1,10,4,0,5,2,0,0,0,3,0,0,6,0,0,1,0,3,0,0,2,2,1,0,7,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,3,1,0,0,3,7,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,10,4,6,0,0,0,0,3,5,2,0,2,0,0,2,0,0,1,0,3,0,0,2,7,0,0,1,0,0,0,0,1,0,4,0,1,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,4,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
1810058I24Rik,0,0,0,1,1,4,4,10,7,7,12,7,4,1,12,0,2,7,5,2,6,2,0,0,7,0,3,2,5,2,3,1,2,4,10,5,6,3,4,2,4,0,2,2,2,2,8,15,0,5,5,10,8,6,1,10,10,5,3,2,7,5,5,2,12,10,7,8,0,5,10,0,10,6,0,6,4,11,3,5,0,9,3,1,5,0,2,7,5,2,2,3,3,0,2,0,1,7,1,4,10,7,5,0,1,4,2,0,12,7,4,0,12,7,3,0,1,2,2,0,6,0,2,3,7,10,5,4,3,5,6,4,2,2,2,4,5,10,15,2,10,8,2,2,5,8,1,0,0,6,10,5,2,3,5,5,10,7,0,2,7,10,6,5,12,0,10,8,6,3,4,0,5,3,11,0,1,0,5,9,2,3,2,7,5,2,3,0
2810428I15Rik,0,4,0,0,0,5,0,4,6,2,0,3,6,10,0,0,0,4,5,5,3,3,0,0,0,0,3,0,1,0,4,3,2,1,1,2,0,3,0,0,0,0,0,0,3,0,3,4,0,4,7,0,2,6,0,0,0,3,4,1,1,2,0,0,0,2,0,3,0,0,2,0,10,0,4,0,1,0,0,0,4,0,0,0,14,0,0,3,1,2,0,0,0,3,0,0,10,2,0,0,4,6,5,4,0,6,5,0,0,3,5,0,0,4,3,0,3,3,2,0,3,0,0,4,0,1,1,0,3,2,0,1,0,0,3,0,7,0,4,0,0,2,0,0,4,3,0,0,0,6,0,3,1,4,0,2,2,1,0,0,0,2,0,0,0,0,10,3,0,0,1,4,0,0,0,0,0,4,14,0,2,0,0,3,1,0,0,3
2810474O19Rik,3,0,6,6,1,7,6,3,2,10,10,11,5,13,8,1,3,0,19,6,3,7,3,0,3,0,10,10,6,12,5,2,2,10,6,8,10,10,17,8,7,1,7,8,11,5,18,16,8,14,10,24,6,7,4,10,3,5,5,7,13,6,5,3,22,25,9,5,0,9,9,1,10,10,4,13,8,7,1,9,15,3,4,6,7,4,14,9,5,12,9,5,4,0,3,3,13,10,6,6,3,2,19,0,1,5,6,1,10,11,7,6,8,0,10,0,2,7,2,0,3,3,10,5,3,6,6,17,10,8,10,10,12,8,11,7,10,24,16,5,10,6,7,8,14,18,4,1,8,7,3,5,7,5,9,6,9,13,1,3,9,25,13,5,22,0,10,5,10,1,8,4,9,4,7,4,6,15,7,3,12,5,9,9,5,14,4,0
5730455P16Rik,0,1,0,0,2,0,0,4,0,1,0,3,2,1,1,5,0,2,0,1,5,4,1,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,3,1,0,0,0,0,7,0,4,8,3,0,6,1,2,0,0,0,0,0,0,0,2,0,0,0,2,3,2,0,6,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,9,3,0,0,0,0,0,1,1,0,0,4,0,0,1,2,2,1,5,0,3,0,0,1,2,5,0,0,4,0,0,5,1,0,0,0,0,0,3,0,4,0,1,0,1,7,0,6,1,8,0,0,2,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,2,6,0,0,0,0,5,0,0,0,0,0,0,4,0,0,9,0,3,0,0,4,0,0
Aamp,10,11,13,6,5,5,11,8,9,9,13,3,4,18,7,7,14,12,12,7,11,12,23,10,9,0,10,4,18,0,12,3,3,20,9,9,6,13,2,17,20,9,6,1,6,12,6,15,8,9,16,18,1,13,19,0,13,11,15,6,21,14,9,18,12,22,6,20,6,13,13,5,21,1,3,17,14,22,8,31,11,12,9,10,15,7,29,8,8,13,12,16,15,16,14,10,18,9,6,11,8,9,12,11,5,4,7,7,13,3,5,13,7,12,10,0,3,12,3,10,11,23,4,12,9,9,18,2,13,9,6,20,0,17,6,20,16,18,15,12,0,1,6,1,9,6,19,9,8,13,13,11,6,15,13,14,13,21,5,18,6,22,17,9,12,6,21,20,1,8,14,3,31,9,22,7,10,11,15,12,13,16,12,8,8,29,15,16
Abr,0,4,0,0,0,0,1,5,3,2,0,0,0,5,0,2,0,1,2,4,3,5,2,0,5,2,0,0,3,4,2,0,0,10,0,1,2,2,4,3,0,1,6,0,1,0,3,3,6,1,9,10,0,4,0,1,0,0,0,3,2,8,0,5,3,6,6,0,0,4,0,2,5,3,4,2,6,0,7,4,5,0,3,0,0,2,3,0,4,4,2,0,0,0,0,0,5,2,0,1,5,3,2,4,0,0,4,2,0,0,0,0,0,1,0,2,0,5,0,0,3,2,0,2,5,0,3,4,2,1,2,10,4,3,1,0,9,10,3,0,1,0,6,0,1,3,0,1,6,4,0,0,3,0,4,8,0,2,2,5,6,6,2,0,3,0,5,0,3,7,6,4,4,3,0,2,0,5,0,0,4,0,2,0,4,3,0,0
Acad9,0,0,0,2,0,5,0,5,0,2,3,3,1,0,0,0,0,1,0,0,0,1,1,1,2,0,1,2,0,1,0,2,3,3,0,2,1,4,2,0,5,3,2,0,0,0,6,2,1,2,0,7,2,0,0,1,2,4,2,0,3,1,0,3,2,3,1,1,0,3,4,0,1,0,0,3,0,0,1,3,2,3,1,0,0,1,1,2,3,4,4,0,0,0,0,0,0,2,2,0,5,0,0,0,0,1,0,0,3,3,5,0,0,1,1,0,2,1,3,1,0,1,2,0,2,0,0,2,4,2,1,3,1,0,0,5,0,7,2,0,1,2,2,0,2,6,0,3,1,0,2,4,0,2,3,1,4,3,0,3,1,3,3,0,2,0,1,1,0,1,0,0,3,1,0,1,0,2,0,3,4,0,4,2,3,1,0,0
Acd,0,0,1,0,0,1,3,1,3,1,0,0,0,3,0,4,2,0,1,2,0,1,2,0,0,0,3,0,0,3,4,2,0,1,3,3,0,0,0,1,0,0,0,0,1,2,0,4,0,0,8,2,0,0,0,3,3,3,0,1,2,0,0,2,0,0,2,2,1,1,3,0,2,0,0,1,3,0,6,3,0,5,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,1,0,3,1,3,1,0,0,0,2,4,0,0,1,1,0,0,3,0,2,1,0,0,0,2,0,4,0,3,0,0,0,3,0,1,3,1,1,0,8,2,4,2,3,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,3,2,0,2,2,0,1,0,0,1,2,2,0,6,3,0,3,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0
