Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
0610009B22Rik,2,2,1,3,4,3,1,2,0,6,1,5,1,6,6,0,4,3,1,6,1,17,7,1,0,2,7,0,3,3,0,2,2,2,1,4,3,6,8,1,8,3,3,6,1,0,6,1,4,0,4,0,4,1,1,0,0,0,2,4,2,8,6,5,3,6,0,0,2,1,6,4,13,3,4,0,3,0,8,0,0,10,9,5,2,0,0,0,1,1,0,11,0,2,4,4,1,1,5,0,0,1,0,0,3,5,0,0,10,6,2,1,9,4,0,0,11,0,1,0,0,1,0,5,6,3,8,0,0,1,2,0,6,1,5,0,0,2,1,0,0,0,7,3,0,0,5,2,2,4,5,2,0,5,4,0,0,4,6,0,2,0,0,9,1,4,12,0,2,7,13,2,2,0,3,6,2,0,0,10,5,2,5,0,2,1,0,5
2410006H16Rik,10,9,5,5,8,19,0,16,9,0,3,3,23,3,0,7,16,2,7,7,2,7,8,5,6,5,6,7,4,1,7,2,4,5,3,3,3,4,7,16,8,9,2,1,11,4,2,5,2,3,4,5,1,2,16,5,6,11,11,8,9,5,9,5,1,13,1,5,7,6,14,0,4,4,12,13,12,10,17,6,3,2,5,2,1,7,18,5,17,8,4,12,16,8,7,6,5,2,2,15,1,9,5,8,2,4,0,4,4,3,8,5,0,7,6,4,19,4,3,2,8,2,6,12,0,14,7,3,3,17,9,13,26,6,8,8,3,8,11,10,12,12,12,8,17,9,9,7,17,1,9,3,0,3,8,6,19,9,1,9,6,8,13,16,6,0,2,8,2,13,3,11,11,3,2,0,6,7,15,6,8,11,11,12,0,0,10,10
2410015M20Rik,15,10,7,1,1,7,5,3,6,6,0,16,15,5,4,9,6,6,3,9,4,8,1,13,24,4,11,3,10,6,2,0,14,28,8,17,5,3,0,9,6,1,15,4,7,4,5,2,2,13,4,0,4,9,10,7,9,11,9,3,7,12,8,5,4,2,14,7,3,3,7,6,3,5,4,6,6,12,13,3,3,17,4,9,9,0,5,6,9,20,10,18,13,16,12,3,4,5,1,2,7,2,15,15,4,5,1,16,4,4,17,14,4,3,17,6,6,6,1,8,6,3,9,2,5,13,1,1,2,4,4,10,6,1,3,4,3,0,5,2,4,17,12,1,6,10,4,1,4,7,3,14,2,6,4,9,15,12,2,13,9,20,0,7,16,1,7,10,21,1,11,9,21,7,2,6,5,10,18,8,12,11,17,8,14,8,9,2
2700081O15Rik,0,0,2,5,0,4,0,0,0,0,0,0,5,0,1,6,0,0,0,0,0,4,5,4,0,11,0,0,0,0,7,4,0,0,1,0,0,0,0,0,5,0,3,0,1,5,0,8,0,3,4,5,3,0,0,4,0,0,1,0,5,0,6,0,2,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,6,1,0,0,4,0,0,0,5,0,7,0,4,5,5,0,0,5,0,3,3,4,7,0,0,1,1,0,4,0,0,0,0,5,5,0,3,0,0,0,7,0,0,0,5,3,0,0,3,0,0,0,0,0,3,0,4,6,1,5,4,4,0,0,0,0,0,1,0,0,0,6,0,5,0,0,3,3,3,6,4,0,0,0,2,0,2
2700097O09Rik,11,7,5,1,7,14,0,7,0,14,8,3,5,0,1,0,12,2,6,9,1,10,3,0,12,10,1,0,8,1,3,4,1,6,2,0,11,0,13,0,8,1,2,11,4,8,7,13,2,5,8,8,4,4,19,11,9,6,0,6,2,1,0,9,0,9,3,14,4,8,3,0,1,0,0,9,5,4,7,0,0,1,2,12,8,9,10,0,9,14,0,0,5,1,1,6,0,1,0,4,7,1,0,6,4,11,0,4,3,3,1,0,0,8,7,0,13,0,3,4,7,8,5,6,11,12,5,7,3,3,1,3,2,10,2,8,7,3,2,11,9,0,2,2,1,3,3,7,0,3,1,1,7,1,12,1,1,1,0,6,2,1,6,11,4,7,7,0,9,14,2,7,5,0,2,2,1,3,0,1,4,2,1,3,4,9,2,5
9130401M01Rik,6,3,8,5,4,3,8,9,6,7,12,4,3,3,14,5,20,7,3,12,4,1,5,4,9,5,9,3,1,3,2,3,2,15,0,7,3,2,6,10,14,11,10,13,4,11,23,15,12,11,2,0,7,1,0,10,8,13,7,7,3,1,8,3,14,6,4,2,2,6,1,1,8,3,20,13,9,2,8,1,0,2,14,10,0,12,11,11,6,0,12,7,5,5,2,11,4,8,4,9,4,1,13,2,6,0,2,15,0,8,0,0,10,7,8,1,1,14,2,18,5,4,6,3,4,6,3,14,10,5,3,13,12,1,0,17,17,3,9,1,18,3,9,7,6,1,4,0,1,8,25,7,6,7,4,8,10,11,2,12,16,12,3,2,8,5,3,5,6,2,5,3,7,2,5,15,13,5,11,6,3,8,13,8,5,9,16,15
A230046K03Rik,0,1,3,0,0,0,4,0,1,11,4,4,0,4,0,8,7,0,8,3,0,0,4,1,0,1,0,4,5,3,0,0,0,3,1,0,0,7,8,5,4,3,3,0,6,0,3,0,0,5,0,6,1,4,0,5,1,0,6,5,0,1,0,9,2,5,2,0,8,4,0,0,1,0,0,0,0,5,6,0,1,3,0,10,1,2,0,1,7,5,1,0,10,0,0,1,1,1,3,3,1,0,0,5,7,0,4,0,0,5,0,0,6,6,0,5,3,6,0,0,5,10,4,1,8,0,0,0,0,0,5,0,0,3,0,2,0,7,1,8,1,1,7,1,1,0,2,8,2,0,3,0,4,0,0,0,7,0,1,6,1,2,8,5,0,0,0,0,0,1,0,2,7,0,0,0,7,8,0,0,0,6,0,9,0,3,0,3
Aamp,4,9,6,12,11,12,3,8,18,21,18,9,13,20,10,11,25,25,1,14,13,6,38,6,17,10,12,4,14,18,12,21,9,7,6,25,13,3,17,19,11,20,14,13,4,18,12,10,13,8,4,1,3,4,13,6,17,2,11,14,23,19,16,44,13,10,4,25,8,18,4,9,12,7,6,13,7,17,20,23,5,13,9,12,3,6,21,4,8,6,13,24,6,9,8,20,9,14,1,15,11,7,17,4,10,31,9,11,10,2,13,8,6,8,1,15,6,10,19,16,8,20,9,15,5,13,14,18,13,3,22,5,12,14,9,14,14,14,7,7,26,29,13,11,13,23,7,17,6,6,1,1,13,11,5,8,5,23,21,7,5,18,8,20,10,11,15,10,9,22,4,8,17,15,8,9,14,15,7,7,6,9,7,23,11,14,4,14
Aard,0,0,4,1,1,2,0,0,4,3,0,0,0,1,6,0,1,0,2,0,0,2,0,5,1,0,0,3,0,0,6,3,0,0,1,0,1,0,0,0,1,1,0,2,0,0,2,0,0,4,0,0,3,0,0,0,2,1,0,0,4,0,0,3,0,0,0,2,0,0,2,0,0,0,3,4,2,0,0,0,4,7,5,2,3,0,0,0,0,0,4,0,0,1,1,0,0,0,5,1,2,1,0,1,2,0,4,4,0,3,0,0,4,0,0,0,1,3,2,5,0,1,2,0,0,3,0,0,0,2,7,0,4,2,2,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,3,1,2,4,7,2,0,0,0,0,0,0,0,3,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,3,0,3,2,0,3
Aasdhppt,0,1,2,4,0,0,4,2,14,5,1,1,0,2,3,0,2,6,4,0,2,9,1,1,8,0,9,0,11,2,4,1,0,0,7,8,1,1,2,0,0,2,11,6,8,4,9,0,4,0,3,6,2,6,2,9,5,4,1,3,6,4,1,4,11,0,1,1,11,5,0,0,5,11,11,1,9,8,3,1,3,7,6,9,7,6,3,0,0,3,0,6,0,11,5,6,6,0,3,0,12,6,1,1,0,4,0,9,1,7,2,4,1,6,7,7,4,2,9,1,4,0,5,2,3,5,0,9,1,2,1,1,1,11,13,5,3,3,6,2,2,4,0,0,10,8,1,5,8,5,8,0,6,0,3,5,5,0,3,10,9,1,9,7,0,6,4,2,3,3,3,10,5,1,0,0,3,1,0,11,1,2,5,4,6,0,1,4
