Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188,cell189,cell190,cell191,cell192,cell193,cell194,cell195,cell196,cell197,cell198,cell199,cell200,cell201,cell202,cell203,cell204,cell205,cell206,cell207,cell208,cell209,cell210,cell211,cell212,cell213,cell214,cell215,cell216,cell217,cell218,cell219,cell220,cell221,cell222,cell223,cell224
Mrpl15,0,4,8,4,0,14,0,10,1,3,11,0,5,0,9,5,5,4,14,0,6,17,0,3,0,8,13,12,4,6,1,9,0,1,4,10,0,22,16,2,9,1,0,9,0,11,0,1,11,6,1,0,0,0,1,0,10,7,7,9,0,16,8,2,3,1,1,0,8,17,4,1,6,0,15,7,12,6,1,3,3,2,7,0,10,0,11,2,5,2,3,0,11,8,2,3,8,4,14,2,2,10,13,2,0,2,0,7,15,6,12,0,4,30,6,5,0,6,11,0,4,5,4,1,6,1,6,4,6,0,4,3,0,3,1,3,8,1,5,7,1,1,0,7,1,9,5,0,3,5,9,1,2,3,4,4,0,10,3,6,4,0,5,5,4,4,4,3,6,3,4,0,6,0,12,0,0,11,5,0,5,7,8,4,6,6,3,4,7,5,1,3,0,0,2,3,6,5,7,2,2,8,1,0,5,5,9,8,2,7,9,2,0,5,6,8,4,0,10,4,11,0,6,0
1110058L19Rik,5,1,0,9,5,3,6,8,0,13,3,2,3,5,8,5,0,1,4,0,2,0,0,1,3,1,4,5,8,0,4,10,5,0,0,13,1,3,14,1,0,13,1,5,9,11,2,4,7,0,4,0,5,8,8,2,2,7,1,0,6,6,1,0,3,0,3,0,8,0,7,1,0,8,6,0,10,2,3,6,2,2,3,2,0,0,7,0,4,4,5,4,0,5,2,7,0,4,4,12,3,3,5,0,0,7,0,12,3,9,4,0,0,4,5,12,4,3,2,2,0,3,1,1,4,1,2,0,11,5,0,1,0,1,2,2,17,3,1,1,3,2,4,4,2,6,1,0,3,3,0,0,8,2,5,3,3,3,2,5,6,5,6,5,1,4,3,8,6,3,3,3,2,0,4,3,0,1,7,2,1,1,8,5,4,6,0,4,1,4,0,3,0,3,10,3,1,8,3,0,0,6,10,0,4,5,2,7,2,2,8,2,10,1,2,16,1,2,6,16,7,2,2,4
Phf3,0,5,0,0,0,12,0,0,8,0,10,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,12,0,4,0,0,5,0,0,0,0,0,0,2,0,0,0,0,5,1,7,0,4,0,0,0,0,0,10,0,0,0,0,0,4,17,0,0,0,0,0,0,6,18,2,21,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,1,0,0,4,0,0,3,2,0,16,0,2,0,5,0,5,3,0,0,0,7,0,2,12,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,5,0,0,4,0,4,0,0,0,0,0,2,0,3,0,0,3,0,5,0,5,0,0,0,0,3,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,2,0,0,0,10,1,0,6,2,0,0,0,0,0,2,0,0,3,4,6,0,0,0,4,0,0,0,0,9,0,0,1,0,4,0,0,0
Sf3b1,10,32,2,11,4,59,19,23,3,14,35,8,4,13,25,13,0,8,16,4,17,10,18,3,0,3,9,14,6,8,33,26,23,4,16,0,0,11,17,9,0,24,4,0,0,30,12,17,3,1,11,16,12,27,21,23,8,11,16,0,11,6,6,2,21,0,0,20,14,69,8,18,17,33,9,1,15,2,0,1,0,0,16,10,9,12,7,6,0,0,12,4,14,12,0,25,8,10,14,8,10,14,25,7,12,3,0,7,5,27,29,0,14,3,17,4,0,2,4,1,0,0,6,7,0,4,1,0,0,14,0,5,6,8,0,13,0,15,19,3,0,0,22,0,0,12,3,0,5,10,2,0,2,12,7,18,11,13,7,4,14,19,1,1,19,12,0,12,0,10,2,0,7,0,4,0,0,11,12,0,5,2,8,0,4,12,0,8,3,4,10,9,5,4,24,8,23,8,6,20,8,6,12,6,9,22,20,10,6,3,5,8,1,7,18,21,0,0,17,9,9,0,8,12
Bzw1,4,6,13,9,2,25,0,0,0,14,18,18,9,8,12,3,0,2,19,0,4,8,1,11,0,5,24,6,4,3,9,5,5,16,0,21,0,12,17,4,1,10,7,1,0,16,12,9,4,0,7,1,4,18,16,13,15,6,20,2,5,1,5,0,0,0,0,18,9,0,15,19,34,0,0,0,30,4,2,0,0,0,4,4,10,4,7,9,8,2,4,0,7,14,0,3,10,5,10,8,6,5,12,8,0,14,0,4,17,10,5,0,5,5,10,5,0,4,7,1,0,1,5,0,3,4,4,3,9,6,1,3,0,3,0,0,0,4,0,4,3,0,8,5,1,10,2,3,4,2,4,0,0,7,9,4,5,3,0,10,6,1,6,5,7,4,1,2,5,6,6,3,6,0,6,0,0,4,17,2,0,2,3,12,1,4,1,4,11,6,1,4,0,2,11,11,2,6,7,4,1,7,3,6,8,6,11,0,0,6,2,7,0,5,4,13,1,0,7,15,3,0,1,2
Bmpr2,0,0,0,0,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,4,0,7,0,0,8,0,0,5,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,0,0,6,0,0,0,0,4,13,0,0,0,0,0,5,0,2,0,4,2,0,9,0,0,5,0,3,0,0,2,0,3,0,1,0,0,0,9,1,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,4,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,1,1,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0
Eef1b2,0,0,0,0,32,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,47,49,0,0,0,44,0,0,77,28,85,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,26,0,37,0,0,0,0,0,27,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,52,0,0,26,0,0,0,0,23,0,0,0,0,0,58,0,7,0,12,0,0,0,0,53,11,0,0,0,61,24,0,0,0
Aamp,35,25,23,24,9,21,21,18,12,31,12,9,12,7,20,16,0,4,8,0,15,13,22,1,1,11,41,29,21,9,25,6,22,10,18,30,2,19,26,9,13,15,0,1,0,28,19,10,16,2,8,23,0,54,33,21,25,3,27,6,20,17,4,0,27,6,7,0,8,51,18,23,28,16,4,3,20,6,1,8,0,3,23,7,13,17,15,0,5,6,9,7,20,8,2,13,3,3,12,14,2,16,13,5,3,11,0,29,20,13,9,0,26,14,22,13,0,3,16,16,0,3,9,0,0,2,2,6,7,18,0,8,3,3,7,4,3,4,8,19,0,4,14,17,0,12,11,0,0,20,8,1,2,0,10,15,8,8,17,20,9,3,9,9,21,11,2,10,20,15,8,5,15,0,13,0,1,11,13,5,3,0,13,0,2,10,1,3,16,17,0,12,8,5,7,15,9,8,21,5,0,5,8,5,16,12,2,8,0,5,10,17,1,2,9,12,7,2,12,12,16,5,6,13
Psmd1,4,0,14,5,18,19,15,31,6,8,14,7,13,1,10,9,0,4,8,0,3,17,17,18,1,5,12,18,12,14,15,3,5,6,11,12,6,11,28,9,0,16,10,0,0,27,19,7,8,3,13,20,0,27,18,14,26,12,12,4,6,21,0,4,13,0,0,30,5,5,16,47,22,18,8,12,31,4,7,26,6,5,22,4,17,13,24,0,8,19,6,11,19,20,4,11,2,4,37,14,9,19,10,9,4,5,0,15,21,21,33,3,10,13,25,8,0,14,21,5,0,0,0,0,0,5,16,0,0,6,9,24,0,0,0,4,0,15,18,4,0,1,15,17,4,31,14,6,12,9,12,3,0,0,20,13,13,9,9,24,21,1,13,14,16,9,2,8,25,11,0,16,14,0,33,0,0,8,13,0,2,1,6,11,12,13,2,3,18,10,8,15,0,13,5,14,17,6,20,17,14,14,14,12,13,28,11,15,0,16,6,18,5,11,12,25,9,5,21,20,9,7,7,13
Cops8,3,3,4,7,4,5,1,9,5,3,7,5,4,3,2,6,0,3,3,0,2,8,4,2,0,5,4,5,3,4,9,4,0,2,2,5,2,8,13,3,9,7,3,0,0,11,8,1,9,3,2,7,2,11,10,4,5,5,9,3,5,6,0,8,0,0,0,6,6,13,4,6,22,0,2,3,3,0,6,2,0,1,2,3,4,5,7,0,0,1,9,4,2,2,2,9,3,0,8,6,0,6,6,1,2,0,0,3,1,10,0,1,1,8,9,3,0,5,6,3,0,0,1,1,0,1,5,7,0,0,0,1,0,0,0,1,0,0,8,5,0,0,2,4,1,3,0,1,1,4,4,0,0,3,5,7,1,2,0,5,2,3,2,7,3,1,0,1,7,0,1,4,1,0,6,0,1,8,6,0,0,0,4,4,3,3,3,4,6,5,0,5,0,1,6,5,3,5,2,4,1,4,5,2,2,5,6,1,2,1,4,2,1,2,5,2,0,0,4,13,0,4,1,2
