F c57,F cast,E c57,E cast
1,1,0,1
1,1,0,1
1,1,1,1
1,0,0,0
1,1,1,1
0,1,0,1
1,1,1,0
1,1,0,1
1,0,0,0
1,1,0,1
1,0,1,1
1,1,0,0
1,1,1,1
1,1,0,0
0,1,1,0
1,1,0,1
1,0,1,0
1,1,1,0
1,1,0,0
1,1,0,0
1,1,1,1
1,1,0,0
1,1,0,1
1,1,1,1
1,1,0,1
0,1,1,1
1,0,1,0
1,1,1,0
1,1,1,0
1,1,1,0
0,1,1,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,1,1
1,0,1,0
1,1,0,1
0,1,1,0
1,1,1,1
0,0,0,1
0,1,0,1
1,1,1,1
1,1,1,0
1,1,0,1
1,1,1,1
1,1,1,0
1,1,0,0
1,1,0,0
1,1,1,1
0,1,0,0
1,1,0,0
1,1,1,0
1,0,1,1
1,1,1,1
1,1,0,0
0,1,0,0
1,1,1,1
0,1,1,1
1,1,0,1
1,1,0,1
0,1,0,1
1,1,1,1
1,1,1,0
1,1,1,1
1,1,1,0
1,1,1,0
1,1,0,1
1,1,0,1
0,1,0,0
0,1,0,0
1,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,1,1
1,1,0,1
1,1,1,0
1,1,0,0
1,1,1,1
1,1,0,0
1,1,1,1
1,1,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,1,0,0
1,0,0,1
1,1,0,1
1,1,0,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,0
1,0,0,0
1,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,1,0
1,1,1,0
1,1,1,0
1,1,1,0
1,1,0,1
1,1,0,1
1,1,1,0
1,1,1,1
0,1,1,1
1,0,1,1
1,1,0,0
1,1,0,1
1,1,0,1
0,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,0
1,1,1,0
1,1,1,0
1,1,1,0
0,1,1,0
1,1,1,1
0,1,1,1
1,1,0,1
1,1,0,0
1,1,0,1
1,1,1,1
1,1,1,0
0,1,0,1
1,1,1,0
1,1,1,1
1,1,0,0
1,1,0,0
1,0,0,0
0,1,1,1
1,1,1,0
1,1,1,1
1,1,1,0
1,1,0,1
1,1,1,0
1,0,0,1
1,1,1,1
0,1,1,0
0,1,0,1
1,1,0,1
1,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,0,1,1
1,1,0,0
1,1,1,0
1,1,1,0
1,1,0,1
1,0,1,0
1,1,1,1
1,1,0,0
1,1,1,0
1,1,0,0
1,1,1,1
1,0,1,0
1,0,0,1
1,0,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,1,1
1,1,0,1
1,1,0,0
0,1,0,1
1,0,0,1
1,1,1,1
1,1,0,0
1,1,1,1
1,1,1,1
1,1,0,0
0,1,1,1
1,1,0,1
1,1,1,1
1,1,0,1
0,1,1,1
1,0,0,1
1,1,1,0
1,0,0,1
1,1,1,0
1,1,0,1
1,0,1,1
1,1,0,0
1,0,0,1
1,1,1,1
1,1,1,0
1,1,0,1
1,1,0,1
1,1,0,0
1,1,1,0
1,1,0,1
1,1,1,1
1,1,1,1
0,1,1,0
1,1,0,0
1,1,1,0
1,1,1,1
1,1,1,1
1,1,0,0
1,1,1,0
0,1,1,0
1,1,1,0
1,1,0,1
1,1,0,0
1,1,1,0
1,1,1,1
1,1,0,0
1,1,0,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
0,1,1,1
0,1,0,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,0,1
1,1,0,0
1,1,0,1
1,1,1,0
1,1,1,1
1,1,1,0
1,1,0,1
1,0,1,1
1,1,1,1
1,1,0,0
1,1,0,0
1,1,1,0
1,1,1,0
1,0,1,0
1,1,0,1
1,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,0
1,1,1,0
1,1,1,0
1,1,0,1
0,1,0,1
1,1,0,0
1,1,1,0
1,0,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,1,1
0,1,0,0
1,0,0,1
1,1,0,1
1,1,0,0
0,1,0,1
1,1,0,0
1,1,1,0
1,1,0,0
1,1,0,1
1,1,1,1
0,1,0,1
1,1,1,1
1,1,0,0
1,1,0,0
1,1,1,0
1,1,0,0
1,1,0,1
0,1,1,0
0,1,1,0
1,1,0,1
1,1,1,1
1,1,1,0
1,1,1,0
1,1,0,1
1,1,1,1
1,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,0,0,0
1,1,0,1
1,1,0,1
1,1,0,0
1,1,0,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,0,1
1,1,1,0
0,1,0,0
1,1,0,1
1,1,1,1
1,1,0,0
1,0,0,0
1,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,0,1
0,1,0,0
1,1,0,1
1,1,1,0
1,1,1,1
1,1,0,1
1,1,1,1
0,1,1,0
0,0,1,1
1,1,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,0,0,1
1,,1,0
1,,1,1
1,,0,0
1,,1,0
1,,1,0
0,,0,1
1,,0,0
1,,1,1
,,1,1
,,1,1
,,0,0
,,0,1
,,0,0
,,0,1
,,1,1
,,0,1
,,1,1
,,0,1
,,0,0
,,1,1
,,0,1
,,0,0
,,1,0
,,1,0
,,1,1
,,1,0
,,1,1
,,0,0
,,1,1
,,1,0
,,0,1
,,1,0
,,1,1
,,1,0
,,1,1
,,0,1
,,1,1
,,1,1
,,1,0
,,0,1
,,1,1
,,0,1
,,1,1
,,1,0
,,0,1
,,1,0
,,0,1
,,0,1
,,1,1
,,0,1
,,0,0
,,1,0
,,1,0
,,1,1
,,0,0
,,0,1
,,0,0
,,0,1
,,1,0
,,1,1
,,1,0
,,1,1
,,1,1
,,1,1
,,1,0
,,1,0
,,0,0
,,0,0
,,1,1
,,0,1
,,1,0
,,1,1
,,0,1
,,1,1
,,0,1
,,1,1
,,1,1
,,1,1
,,0,0
,,1,1
,,1,0
,,1,0
,,1,1
,,0,0
,,1,0
,,1,0
,,1,1
,,1,1
,,0,1
,,1,1
,,0,0
,,0,1
,,1,1
,,1,1
,,1,1
,,1,0
,,1,0
,,0,1
,,1,0
,,1,0
,,0,1
,,1,0
,,1,0
,,0,0
,,1,1
,,1,1
,,0,1
,,0,0
,,1,1
,,0,1
,,1,1
,,1,1
,,1,0
,,0,1
,,1,1
,,0,1
,,0,1
,,1,0
,,1,1
,,1,1
,,0,0
,,1,1
,,1,1
,,1,0
,,0,0
,,0,0
,,0,0
,,1,0
,,0,0
,,1,1
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,0,
,,1,
,,1,
,,0,
,,1,
,,0,
,,1,
,,1,
,,0,
,,1,
,,0,
,,1,
,,0,
,,0,
,,1,
,,0,
,,0,
,,0,
,,1,
,,1,
,,0,
,,1,
